	BlockNumber	SequenceNumber	EventNumber	Time	isHit	target	pressed	sequence
422	6	87	4	1335	1	2	2	0
423	6	87	5	1904	1	4	4	0
424	6	88	1	278	1	4	4	0
425	6	88	2	640	1	1	1	0
426	6	88	3	1010	1	3	3	0
427	6	88	4	1371	1	2	2	0
428	6	88	5	1820	1	4	4	0
429	6	89	1	268	1	4	4	0
430	6	89	2	536	1	1	1	0
431	6	89	3	966	1	3	3	0
432	6	89	4	1300	1	2	2	0
433	6	89	5	1787	1	4	4	0
434	6	90	1	257	1	4	4	0
435	6	90	2	630	1	1	1	0
436	6	90	3	1020	1	3	3	0
437	6	90	4	1367	1	2	2	0
438	6	90	5	1773	1	4	4	0
439	6	91	1	271	1	4	4	0
440	6	91	2	529	1	1	1	0
441	6	91	3	939	1	3	3	0
442	6	91	4	1283	1	2	2	0
443	6	91	5	2281	1	4	4	0
444	6	92	1	609	1	4	4	0
445	6	92	2	975	1	1	1	0
446	6	92	3	1319	1	3	3	0
447	6	92	4	1639	1	2	2	0
448	6	92	5	2059	1	4	4	0
449	6	93	1	281	1	4	4	0
450	6	93	2	550	1	1	1	0
451	6	93	3	879	1	3	3	0
452	6	93	4	1208	1	2	2	0
453	6	93	5	1570	1	4	4	0
454	6	94	1	263	1	4	4	0
455	6	94	2	653	1	1	1	0
456	7	95	1	954	1	4	4	0
457	7	95	2	1280	1	1	1	0
458	7	95	3	1681	1	3	3	0
459	7	95	4	1998	1	2	2	0
460	7	95	5	2345	1	4	4	0
461	7	96	1	275	1	4	4	0
462	7	96	2	452	1	1	1	0
463	7	96	3	764	1	3	3	0
464	7	96	4	1165	1	2	2	0
465	7	96	5	1617	1	4	4	0
466	7	97	1	347	1	4	4	0
467	7	97	2	607	1	1	1	0
468	7	97	3	982	1	3	3	0
469	7	97	4	1352	1	2	2	0
470	7	97	5	1690	1	4	4	0
471	7	98	1	308	1	4	4	0
472	7	98	2	692	1	1	1	0
473	7	98	3	1081	1	3	3	0
474	7	98	4	1445	1	2	2	0
475	7	98	5	1758	1	4	4	0
476	7	99	1	264	1	4	4	0
477	7	99	2	512	1	1	1	0
478	7	99	3	918	1	3	3	0
479	7	99	4	1231	1	2	2	0
480	7	99	5	1653	1	4	4	0
481	7	100	1	249	1	4	4	0
482	7	100	2	543	1	1	1	0
483	7	100	3	1332	1	3	3	0
484	7	100	4	1617	1	2	2	0
485	7	100	5	2032	1	4	4	0
486	7	101	1	337	1	4	4	0
487	7	101	2	924	1	1	1	0
488	7	101	3	1442	1	3	3	0
489	7	101	4	1782	1	2	2	0
490	7	101	5	2339	1	4	4	0
491	7	102	1	229	1	4	4	0
492	7	102	2	529	1	1	1	0
493	7	102	3	960	1	3	3	0
494	7	102	4	1304	1	2	2	0
495	7	102	5	1678	1	4	4	0
496	7	103	1	259	1	4	4	0
497	7	103	2	498	1	1	1	0
498	7	103	3	942	1	3	3	0
499	7	103	4	1231	1	2	2	0
500	7	103	5	1602	1	4	4	0
501	7	104	1	307	1	4	4	0
502	7	104	2	589	1	1	1	0
503	7	104	3	1012	1	3	3	0
504	7	104	4	1250	1	2	2	0
505	7	104	5	1604	1	4	4	0
506	7	105	1	243	1	4	4	0
507	7	105	2	561	1	1	1	0
508	7	105	3	1013	1	3	3	0
509	7	105	4	1370	1	2	2	0
510	7	105	5	1683	1	4	4	0
511	7	106	1	275	1	4	4	0
512	7	106	2	483	1	1	1	0
513	7	106	3	975	1	3	3	0
514	7	106	4	1226	1	2	2	0
515	7	106	5	1601	1	4	4	0
516	7	107	1	249	1	4	4	0
517	7	107	2	567	1	1	1	0
518	7	107	3	1230	1	3	3	0
519	7	107	4	1559	1	2	2	0
520	7	107	5	1903	1	4	4	0
521	7	108	1	228	1	4	4	0
522	7	108	2	516	1	1	1	0
523	7	108	3	1175	1	3	3	0
524	7	108	4	1462	1	2	2	0
525	7	108	5	1890	1	4	4	0
526	7	109	1	331	1	4	4	0
527	7	109	2	551	1	1	1	0
528	7	109	3	1102	1	3	3	0
529	7	109	4	1493	1	2	2	0
530	7	109	5	1854	1	4	4	0
531	7	110	1	276	1	4	4	0
532	7	110	2	737	1	1	1	0
533	7	110	3	1213	1	3	3	0
534	7	110	4	1529	1	2	2	0
535	7	110	5	1974	1	4	4	0
536	7	111	1	303	1	4	4	0
537	7	111	2	694	1	1	1	0
538	8	112	1	825	1	4	4	0
539	8	112	2	1269	1	1	1	0
540	8	112	3	1609	1	3	3	0
541	8	112	4	1966	1	2	2	0
542	8	112	5	2219	1	4	4	0
543	8	113	1	303	1	4	4	0
544	8	113	2	485	1	1	1	0
545	8	113	3	786	1	3	3	0
546	8	113	4	1130	1	2	2	0
547	8	113	5	1377	1	4	4	0
548	8	114	1	334	1	4	4	0
549	8	114	2	534	1	1	1	0
550	8	114	3	886	1	3	3	0
551	8	114	4	1236	1	2	2	0
552	8	114	5	1603	1	4	4	0
553	8	115	1	266	1	4	4	0
554	8	115	2	482	1	1	1	0
555	8	115	3	1082	1	3	3	0
556	8	115	4	1396	1	2	2	0
557	8	115	5	1729	1	4	4	0
558	8	116	1	271	1	4	4	0
559	8	116	2	541	1	1	1	0
560	8	116	3	916	1	3	3	0
561	8	116	4	1221	1	2	2	0
562	8	116	5	1570	1	4	4	0
563	8	117	1	251	1	4	4	0
564	8	117	2	484	1	1	1	0
565	8	117	3	994	1	3	3	0
566	8	117	4	1259	1	2	2	0
567	8	117	5	1640	1	4	4	0
568	8	118	1	249	1	4	4	0
569	8	118	2	530	1	1	1	0
570	8	118	3	926	1	3	3	0
571	8	118	4	1279	1	2	2	0
572	8	118	5	1558	1	4	4	0
573	8	119	1	239	1	4	4	0
574	8	119	2	547	1	1	1	0
575	8	119	3	956	1	3	3	0
576	8	119	4	1257	1	2	2	0
577	8	119	5	1601	1	4	4	0
578	8	120	1	235	1	4	4	0
579	8	120	2	505	1	1	1	0
580	8	120	3	917	1	3	3	0
581	8	120	4	1204	1	2	2	0
582	8	120	5	1594	1	4	4	0
583	8	121	1	211	1	4	4	0
584	8	121	2	447	1	1	1	0
585	8	121	3	846	1	3	3	0
586	8	121	4	1134	1	2	2	0
587	8	121	5	1597	1	4	4	0
588	8	122	1	199	1	4	4	0
589	8	122	2	449	1	1	1	0
590	8	122	3	823	1	3	3	0
591	8	122	4	1074	1	2	2	0
592	8	122	5	1314	1	4	4	0
593	8	123	1	340	1	4	4	0
594	8	123	2	600	1	1	1	0
595	8	123	3	1011	1	3	3	0
596	8	123	4	2736	0	2	4	0
597	8	123	5	3019	1	4	4	0
598	8	124	1	343	0	4	1	0
599	8	124	2	1715	1	1	1	0
600	8	124	3	2239	1	3	3	0
601	8	124	4	2488	1	2	2	0
